Title,YouTube Link,brief_desc,Built With,By,Location,cluster
Gemi Slice | Gemini Snippet on Search ✨,https://www.youtube.com/watch?v=XVpmZRqu7Xw,"The application generates code snippets, explanations, language detection, and programming-related topics based on user searches related to programming, using a dataset from Google Research.","Web/Chrome, Google Chrome Extension",Snapverse,Argentina,0
Gemini AI Book Capture,https://www.youtube.com/watch?v=LtLdb8F1eIY,"The application allows users to capture book information from a photo of its cover using AI-powered technology, storing the data in a searchable digital catalog for easy access and sharing.",Android,miiweb,Argentina,0
GeminiSH,https://www.youtube.com/watch?v=tSNp36ZvjlQ,"The application is a personalized AI assistant that allows users to interact with it using natural language, execute commands, and automate tasks. It uses advanced AI technology to understand user intent and provide a seamless experience.",,,Argentina,0
IADA,https://www.youtube.com/watch?v=ao2sQWRn70A,"The system facilitates access to legislative information by utilizing Gemini, a technology that provides a gateway to legislative databases. It enables users to retrieve and analyze legislative data in a streamlined manner.",Web/Chrome,Bartolomeo Gonzalez,Argentina,1
Kind Konnect,https://www.youtube.com/watch?v=YYhn-g4sVEg,"The application connects people with local help opportunities, facilitating community engagement and solidarity through user-created assistance events, group chats, and profile-based matching. It utilizes an integrated AI feature powered by the Gemini API to recommend relevant help opportunities based on user preferences and location data.","Flutter, Firebase",Pablo Salamendi,Argentina,1
Lorean,https://www.youtube.com/watch?v=xJOoabWCZj4,"The application is designed to assist in the development of children with diagnosed disorders by providing individualized support through Artificial Intelligence technology, enabling adaptive content and exams.","Flutter, Firebase",Lorean Team,Argentina,0
Luminaria,https://www.youtube.com/watch?v=Z823SOURFkQ,"The application uses generative AI to generate immersive stories based on user input, tailoring reading comprehension activities for personalized feedback and support.","Flutter, Firebase",Wumbox,Argentina,0
PrepAI,https://www.youtube.com/watch?v=c81zMF8rmEQ,"The application uses the Gemini API to create and provide content for job interviews, including questions, options, hints, and feedback, with AI-powered analysis to help users improve their performance.",Web/Chrome,Juan Ignacio Llaberia,Argentina,1
Severus,https://www.youtube.com/watch?v=IV7eu0xlR6o,"The application is a voice assistant that allows users to execute commands and automate their PC using Tauri, with two modes: ""Preguntas"" (Q&A) and ""Asistente"" (Assistant). It uses voice commands to interact with the system, allowing users to perform various tasks such as creating directories, opening programs, and more.","Web/Chrome, No pude usar la API Convierte voz en texto con la IA de Google",Sector-7G-Animas,Argentina,0
A10fy,https://www.youtube.com/watch?v=9L8HOfUlde4,"The application provides a feature-rich extension for Chromium browsers, offering various functionalities such as chat with Gemini models, unified access to models and services, code players, custom actions, AI assistant integration, and page snapshot taking/fuzzy search.",Web/Chrome,Alex Dainiak,Armenia,1
AI Arena,https://www.youtube.com/watch?v=hA40gdc-VHY,"The main use case of this application is to create a dynamic online game where players can design and engage in tactical battles, with AI-driven assistance powering every aspect of gameplay.",Web/Chrome,AI Arena,Armenia,0
Gemifood,https://www.youtube.com/watch?v=l8a-Hgxu4rA,"The application uses Google's Gemini AI to analyze user preferences and make personalized restaurant recommendations based on a user's taste, selecting nearby restaurants that match their description.","Android, Material 3, Google Maps API and Google Cloud",Narek,Armenia,1
One minute changelog,https://www.youtube.com/watch?v=MGm898B6264,"The application provides AI-powered summaries of official Go and Kubernetes changelogs, allowing users to quickly grasp major changes without reading entire documents. It also offers intelligent search extracts for relevant sections, providing context-aware summaries.",,one-minute-changelog.com,Armenia,0
Backyard Safari,https://www.youtube.com/watch?v=hZmg-i3SN0Y,"The application uses scientific data to help users find and identify local wildlife, utilizing a combination of AI services such as Gemini AI and Google Maps.","Flutter, Android, Firebase, Google Maps",Simon Hanly-Jones,Australia,1
Checkr Bot,https://www.youtube.com/watch?v=EeGJMSniSRk,"The application is an AI tool that helps users navigate complex ingredient lists in food products, providing them with organized and detailed information to make informed dietary choices.","Web/Chrome, Firebase, VertexAI - Gemini",Checkr Bot,Australia,0
Clarify,https://www.youtube.com/watch?v=a3ByLusLXCk,"The application analyzes online content, such as articles and YouTube videos, to provide users with a clear understanding of its relevance and accuracy, helping them make informed decisions about what to read or watch.","Flutter, Android, Firebase",Clarify,Australia,0
Class Planner,https://www.youtube.com/watch?v=6XcO_uHEzN8,"The application simplifies teaching by providing a user-friendly interface for generating high-quality, curriculum-aligned content using Large Language Models (LLMs) with minimal prompting.",Web/Chrome,Justin McArdle,Australia,0
Clickolas Cage,https://www.youtube.com/watch?v=JKBv1uUnrSk,"The application utilizes the Gemini API to determine actions on a web-based text prompt goal, providing a natural language interface for achieving specific objectives.",Web/Chrome,techfren,Australia,1
Companion 1,https://www.youtube.com/watch?v=vpUEnNTpLts,"The extension provides direct access to web content, simplifying complex information for individuals with visual impairments, cognitive disabilities, or language barriers by granting Gemini API access to current tab's content and generating relevant responses.",Web/Chrome,Kori Jacobsen,Australia,1
Discipleship Journey,https://www.youtube.com/watch?v=CVSoSqyhEkA,"The application provides three distinct functions: 

1. Daily Word of the day - an AI-generated daily devotional tailored to users' growth and aspirations.
2. Bible reading planner - a plan that fits users' schedules, with buffer time for catching up on missed readings.
3. Hear Jesus speak - an AI-powered Q&A system where users can ask questions and receive scripture-based answers from Jesus.",,Team Believers,Australia,0
doggle,https://www.youtube.com/watch?v=Fwdy6FSLmCA,"The application is a web-based AI-powered tool for managing personal finances, featuring an intuitive visual display with a chatbot that provides personalized financial advice and bill processing capabilities using finetuned Gemini APIs.","Firebase, google cloud SQL",CodeBlossoms,Australia,1
Easy Apply,https://www.youtube.com/watch?v=p2F4V1-TUno,"The application allows users to create and edit resumes using a combination of Google Docs and Gemini, a conversational AI tool.","Web/Chrome, Google Cloud",Easy Apply,Australia,1
EduQuiz,https://www.youtube.com/watch?v=F0CZS6sT080,"The application generates quizzes based on user input parameters using the Gemini API, providing tailored responses.","Web/Chrome, Firebase, Angular, TypeScript",Booolean,Australia,1
Fetebird,https://www.youtube.com/watch?v=DBcH8OSjkMk,"The application uses a combination of a Gemini API for language model evaluation and a Retrieval Augmented Generation (RAG) architecture to streamline assignment grading, providing educators with valuable insights into student understanding while maintaining flexibility and adaptability.",Web/Chrome,Fetebird,Australia,1
Fortograph,https://www.youtube.com/watch?v=8tSJ8SBf3ow,"The application uses Gemini API to redact Personal Identifiable Information (PII) from images, either by manually editing them using a normal image viewer or by sending coordinates to a web service for automated redaction and unredaction.",Web/Chrome,Fortograph,Australia,1
Gemini Voice Companion,https://www.youtube.com/watch?v=6eXayNvU6ds,"The application is a voice assistant that uses Gemini AI to provide hands-free and eyes-free interaction, enabling users to control various devices and perform tasks through voice commands. It offers a range of capabilities, including smart home control, news reading, music playback, and more, making it a versatile tool for a wide range of applications.",Web/Chrome,Zhenya Yang,Australia,1
Holopaws,https://www.youtube.com/watch?v=USLyVxbN7j8,"The application is a virtual pet that uses AI to interact with its owner, providing a friendly and engaging experience. It responds naturally to user input and adapts to their moods and preferences over time.",Android,Holopaws,Australia,0
Karna,https://www.youtube.com/watch?v=2WTh1eHQOBk,"The application uses a smart solar tracker that maximizes energy capture by following the sun throughout the day, utilizing real-time weather analysis to adjust its position and prioritize capturing diffused light even on cloudy days and windy conditions.",,Sun Chasers,Australia,0
My Espresso,https://www.youtube.com/watch?v=KLp4AlguEUc,"The application allows users to track and optimize their espresso-making process by finding optimal recipes for each bean, sharing data with a platform for analysis, and providing tips on how to achieve perfect espresso faster.","Flutter, Firebase",,Australia,0
Ortege Blocksmith,https://www.youtube.com/watch?v=D5JTgItK0Jc,"The application provides bespoke Large Language Models (LLMs) tailored to specific blockchains, allowing developers to ask complex questions and receive accurate answers directly within Telegram.",GCP,Ortege,Australia,0
Pack Pet Health,https://www.youtube.com/watch?v=MYah8eb2CkI,"The application provides real-time virtual consultations through ""Vet Chat"" for pet care, offering expert advice on managing symptoms and recommending over-the-counter products. It also includes a feature called ""Show Me"" that allows users to identify safe and unsafe foods for their pets based on photos.",Flutter,Pack Pet Health,Australia,0
ReciMe,https://www.youtube.com/watch?v=YmnID3XEk-Q,"The application uses AI to assist with cooking by scanning a user's pantry, identifying ingredients, generating custom recipes, and providing step-by-step instructions.",Web/Chrome,ReciMe.ai,Australia,0
StoryMagic,https://www.youtube.com/watch?v=rfxi081SF4M,"The application generates short stories for young kids, allowing them to explore their creativity and imagination through a fluid interface that incorporates their pedigree information and interests.","Android, Web/Chrome, Firebase",Daniel Grech,Australia,0
ThatWellnessApp,https://www.youtube.com/watch?v=boKk1kf8FZA,"The application uses the Gemini API to analyze meals and products, providing a comprehensive breakdown and journaling capabilities for users to track their health and wellness.","Web/Chrome, Firebase",ThatWellnessApp,Australia,1
Trovellar,https://www.youtube.com/watch?v=7AkM7PNqBJE,"The application allows users to track their travels, document their experiences, and connect with others through a personalized map, social features, and real-time recommendations.","Web/Chrome, Firebase, PWA",Trovellar Co.,Australia,0
TwilightNav,https://www.youtube.com/watch?v=tzFWLS_l3JQ,"The application utilizes the Gemini API to enhance user interaction by analyzing webpage content, recognizing user intent through voice commands and gestures, and providing a more accessible browsing experience.",Android,TwilightNav,Australia,1
Vidolingo,https://www.youtube.com/watch?v=2_hnWZu8ehU,"The application uses advanced Gemini technology to provide accurate, real-time translations and linguistic insights while viewers watch authentic films, enhancing language learning and movie enjoyment by providing detailed analyses of dialogues and themes.",Android,"Masoud Fetanat, Mirmostafa Mousavi Razavi, Mir Saeed Mousavi Razavi, Maedeh Parvizian",Australia,1
VoiceTree,https://www.youtube.com/watch?v=O4ikwKYQMTE,"The application converts spoken words into dynamic, visual mind maps in real-time, helping remote knowledge workers stay organized and focused by capturing their thoughts as a growing tree on their screen.","Google AI studio for prompt engineering, Intelij - ""Code with Gemini Code Assist""",Manu Masson,Australia,0
Xibon AI SuperBrain,https://www.youtube.com/watch?v=QC2Zsrq4Ugo,"The application uses AI to summarize online information, generate personalized documents, and provide proactive insights based on user context and stored data.",Web/Chrome,Xibon AI,Australia,0
,https://www.youtube.com/watch?v=HXq5BtowdzY,"The application is a personal nutrition tracking tool that utilizes Gemini AI to estimate daily nutrient intake, track meals, and provide nutritional information for specific foods.","Web/Chrome, React",Gavin Pan,Australia,1
Advoco,https://www.youtube.com/watch?v=6yapde0HwjA,"The application uses the Gemini API to provide intelligent functionalities, including chat, image analysis, text summarization, and more, enhancing user interactions with enhanced productivity and information processing capabilities.",Android,Mikail Bagmaci,Austria,1
AI-Quizzer,https://www.youtube.com/watch?v=WQNrKE3rBJc,"The application uses Google's Gemini AI to provide personalized tutoring, allowing learners to access it around the clock through snap-quiz generation and AI polyglot tutors that practice languages with instant feedback.",Web/Chrome,AI-Quizzer,Austria,1
Dorsalis,https://www.youtube.com/watch?v=yzcfsqr2B5g,"The application is a platform that utilizes Large Language Models (LLMs) like Gemini to automate decision-making for various functions, allowing users to focus on research and coding tasks. It leverages React, Firebase, Firestore, ExpressJS, Python, and JSON formatting for maximum accuracy and dynamic data handling.","Firebase, Google custom search, Vertex AI",Dorsalis,Austria,1
Eatz,https://www.youtube.com/watch?v=Yh0R7c_J2HQ,"The application extracts menu items and customer comments from nearby restaurant websites, analyzes them using AI, and provides personalized recommendations based on dietary restrictions to users.","Flutter, Firebase, Cloud Translation Api, DistilledBert, PlacesApi","Pablo Nieuwenhuys, Simeon Nieuwenhuys, Ennio Binder",Austria,0
Gemini Powered Spam Detection,https://www.youtube.com/watch?v=jEYObExfs-w,"The application uses Gemini to identify spam messages and automatically ban spammers in chat groups, using a vertex-ai client library for node.js to filter content and ensure communication space cleanliness and security.",Web/Chrome,Yurii Yakovlev,Austria,1
Marty Terminal,https://www.youtube.com/watch?v=c-O0-g6OV3Q,"The application is an AI-powered command-line assistant that simplifies complex tasks by interpreting natural language instructions and autonomously executing commands, using the Gemini API for natural language processing.",Web/Chrome,FleiTec SoftwareEntwicklung,Austria,1
Replaiced,https://www.youtube.com/watch?v=WzcMI8IDHcc,"The Gemini API is a platform that can be utilized as a sponsor for a bug bounty, providing a unique opportunity to discover vulnerabilities in software applications.","Firebase, ",ReplAIced,Austria,1
Smart Reports Pro,https://www.youtube.com/watch?v=-Ku7AM0RAXY,"The application transforms medical reports into Smart Reports by integrating user profiles with test results, using a reasoning engine to generate health infographics and provide actionable insights through a Gemini LLM-powered interface.",Firebase,"Medicus Team (Abdulrahman Alabdullah, Mohammad Hegazy, Naser Muzayen, Dima Yazji, Diab Alshahaf, Jana Jbara, Aghiad Yazji, Nisreen Hassoun)",Austria,1
SubtaskAI,https://www.youtube.com/watch?v=v6JhVBy48Ks,"The application helps users turn their goals into action by providing tailored ideas and recommendations through creative solutions and step-by-step suggestions, aiming to guide users towards achieving their objectives.","Android, Web/Chrome",Realm of Salt,Austria,0
tl;dr,https://www.youtube.com/watch?v=1dtRHrxl8lc,"The application allows users to ask websites specific questions about their content, sanitizes the page content, and sends it along with a question to Gemini for analysis.",Web/Chrome,NullDev,Austria,1
Träning,https://www.youtube.com/watch?v=qJcRxQeFkIM,"The application is a language learning platform that offers exercises for multiple languages, including German, English, French, and more, with varying levels of difficulty (A1 to C1). It provides an infinite number of grammatical exercises to enhance vocabulary, improve grammar, and practice language skills.","Android, Web/Chrome",Träning,Austria,0
Caloriato,https://www.youtube.com/watch?v=wTc4MJ4YVXI,"The application guides users in healthy eating by providing personalized nutrition advice through an AI-powered assistant named Leylai, who tracks daily calorie intake and offers tailored suggestions.","Flutter, Android, Firebase",porelarte,Azerbaijan,0
Liberge,https://www.youtube.com/watch?v=utUPY4luwoI,The application connects students for shared activities and keeps them informed about university events through a social platform that uses a Gemini API to validate user-generated content.,"Android, Firebase",Liberge,Azerbaijan,1
Bobo - ChatBot Messenger,https://www.youtube.com/watch?v=7QzVXnPqMCk,"The application provides a modern Android chat experience with intuitive profile management, category exploration, and robust local data storage using SQLite. It also offers dark mode support for enhanced usability in different environments.",Android,The Light Surprise,Bangladesh,0
Cute Core,https://www.youtube.com/watch?v=9X_pLNybpNk,"The application is a versatile AI companion that can assist with various tasks, including daily chores, coding challenges, and creative brainstorming, using advanced AI models to understand and respond naturally.",Web/Chrome,Jayed Rehan,Bangladesh,0
Data Analysis Toolbot Assistant,https://www.youtube.com/watch?v=LQuDRC609uU,"The application is a data analysis tool that provides users with various features, including inputting queries, receiving code snippets and explanations, and generating reports. It utilizes a combination of technologies such as Next.js, Flask, Gemini API, MongoDB, and Clerk for its frontend and backend logic.",Web/Chrome,Data-Analyst-Solver,Bangladesh,1
Dream Drive Finder,https://www.youtube.com/watch?v=9MdQiFDrDn8,"The app allows users to search for cars by selecting options and tapping ""search"", which sends a query to Gemini AI, an intelligent virtual assistant, that provides car information in response.",Flutter,Alvi,Bangladesh,1
Farmer Assistant,https://www.youtube.com/watch?v=LxBcxkONyiw,"The application is a mobile app that uses AI to assist farmers by providing suggestions for various problems, including questions, images of diseases and agricultural issues, and weather forecasts. It leverages APIs from Gemini and OpenWeatherMap to generate these suggestions.","Android, Firebase",eub_programmer,Bangladesh,1
FindIT,https://www.youtube.com/watch?v=5ZgsR31TFFM,"The application uses artificial intelligence to authenticate user input by verifying if a picture contains an object, and then checks if the object is real or displayed on devices.","Web/Chrome, Firebase",KaribKodes,Bangladesh,0
Fuel delivery app,https://www.youtube.com/watch?v=f-6IrPsU0Dg,"A fuel delivery app provides convenience, peace of mind, and efficient fuel delivery to customers through GPS location tracking, order scheduling, secure payment processing, and real-time order tracking.",Web/Chrome,Single,Bangladesh,0
GemAide,https://www.youtube.com/watch?v=aRPnHFx5Xw0,"The application automates tasks typically handled by freelancers or employees, simplifying email management and transforming raw data into polished presentations through a combination of natural language processing (NLP) and machine learning technologies.",Flutter,GemAide,Bangladesh,0
Gemini Bot BD,https://www.youtube.com/watch?v=lpqeo9szeV0,"The application is a Telegram bot that engages users in meaningful conversations, provides information on various topics, and uses dynamic AI-generated content through the Gemini API.",,InfinityBytes,Bangladesh,1
Gemini Resume Builder,https://www.youtube.com/watch?v=UDoUAF9Po4c,"The application uses AI to extract relevant text from scanned documents and images, generating a professional CV tailored to the user's profile.",Flutter,Demo by one no team,Bangladesh,0
Geminify,https://www.youtube.com/watch?v=Ix8-G38IqWE,The application is a course plan creator that helps users generate an outline for learning new things. It utilizes AI technology to facilitate the process.,Web/Chrome,fireBit,Bangladesh,0
GeminiWeather,https://www.youtube.com/watch?v=ON7ixLczA-k,"The application provides users with up-to-date weather information, personalized daily recommendations based on current conditions, and suggests tailored activities suited to the day's weather.","Flutter, Android",Cyber Coder,Bangladesh,0
HexaGemin,https://www.youtube.com/watch?v=TzfNYU94mXo,"The application provides a suite of intelligent features that integrate multiple utilities into one seamless experience, offering functionalities such as object detection, medical care assistance, and sentiment analysis, among others. Its unique value lies in its ability to deliver accurate and helpful responses through advanced AI-powered technology.",Flutter,Tanvir Hasan,Bangladesh,0
KiKhabo,https://www.youtube.com/watch?v=_jOmheWN-vI,"The application helps bechelors by providing automated meal suggestions based on their dietary preferences, utilizing AI technology to offer personalized nutrition advice.","Web/Chrome, Springboot, Gemini, React",Java Script,Bangladesh,0
Lets-Talk,https://www.youtube.com/watch?v=6RSKcwXfM0o,"The application enables visually impaired individuals to communicate through video call by converting visual content into descriptive audio, while also providing guidance and navigation support for real-time audio descriptions of their surroundings.",Web/Chrome,HEALTH BOT,Bangladesh,0
Make Meal,https://www.youtube.com/watch?v=fw0nIRh0EDc,"The application allows users to create recipes based on images of food, generate meal plans, and track weight loss/gain through a prompt-based system using Gemini API.",Android,BD Developer,Bangladesh,1
MedBot,https://www.youtube.com/watch?v=G__i3cR5EVs,"The application is a conversational medical assistant that uses various technologies to provide users with healthcare information, support their inquiries, and enhance their experience by extracting relevant data from images and text.",,AI Altruists,Bangladesh,0
Medical AI Assistant,https://www.youtube.com/watch?v=oHIxeAtuGeg,"The application uses Google's Gemini AI model to provide personalized insights, analyze medical images, and offer medication information, symptom analysis, and disease diagnosis through a natural language processing-based chatbot interface.","Web/Chrome, Python, Flask, SQLite",Mirza Milan Farabi,Bangladesh,1
Mind Magnet,https://www.youtube.com/watch?v=zPhmugZe9hk,"The application is a blogging platform that enables users to share and discover stories, with features such as real-time interactions, secure user verification, and multimedia integration. It also includes unique integrations like Gemini for conversational AI and TensorFlow Lite for sentiment analysis of comments.","Flutter, Firebase",Mind Magnet,Bangladesh,1
MinusOne,https://www.youtube.com/watch?v=mE6375XeC5s,"The application is an AI-powered Linux terminal assistant that translates natural language prompts into precise commands, simplifying complex operations and ensuring smooth execution. It can also correct errors if something goes wrong.",Golang,Hydra,Bangladesh,0
MyChamber,https://www.youtube.com/watch?v=5kKQjxQMzdA,"The application allows doctors to streamline practice management with features such as patient management, appointment scheduling, prescription management, and integration with voice and chatbot technologies, email, and messaging platforms.","Android, Web/Chrome, GCP",Dust,Bangladesh,0
Portle,https://www.youtube.com/watch?v=U7R-PKHOIqg,"The application simplifies the process of building and maintaining a professional portfolio by extracting relevant data from resumes, linking to GitHub repositories, and generating short descriptions for projects.","Web/Chrome, Google Auth using google console",Portle,Bangladesh,0
Third Eye 2,https://www.youtube.com/watch?v=7VyVaKv3q7g,"The app uses a mobile camera to capture images, sends them to Gemini API for analysis, and then transmits the results as voice speech through earphones or speakers, allowing users to interact with their surroundings in real-time.",Flutter,Maslinia,Bangladesh,1
Traffic_Complaint_System,https://www.youtube.com/watch?v=f9w2EwYGDso,"The application allows users to submit complaints about traffic violations by taking pictures of vehicles, providing vehicle numbers, and submitting online applications through a mobile device using the Gemini API.",,BUG_RANGERS,Bangladesh,1
YourEye,https://www.youtube.com/watch?v=cHJEzig3R8s,"The app helps blind individuals ""see"" by taking a photo, analyzing it with the Gemini API, and reading aloud its contents through text-to-speech technology.",Android,Bangladesh 2.0,Bangladesh,1
AI Agent-Cy,https://www.youtube.com/watch?v=e6Cv2KlbTNc,"The application is an augmented reality environment that enables users to pose a research question, collaborate with agents to transform it into a polished pitch deck, and view the process in real-time using Google's advanced technology.","Web/Chrome, GCP Cloud Run, Vertex AI - Text to Speech, Vertex AI - Imagen2",Turing Tuners,Belgium,0
AILEM,https://www.youtube.com/watch?v=UO2hYr1jM-Y,"The application provides a platform for refugees to practice essential language and cultural skills through interactive, AI-driven scenarios that simulate real-life situations.","Flutter, Firebase",AILEM,Belgium,0
Cocktailr,https://www.youtube.com/watch?v=HSVcfh7iLM4,"The application allows users to discover a vast collection of cocktail recipes, find the perfect drink for any occasion, and interact with an AI bartender named Brina through various screens. It uses Gemini technology to interpret user queries and provide relevant responses.","Flutter, Cloud Run",Team Brina,Belgium,1
Composabl Autonomous AI Builder,https://www.youtube.com/watch?v=r5UqyEk8b1Y,"The application provides a platform for industrial engineers to create autonomous agents that learn their process control use cases automatically, leveraging existing knowledge in algorithms or discovering new ones through AI.",,Composabl,Belgium,0
gedankenpolizei,https://www.youtube.com/watch?v=OIdcJpiyxC0,"The application generates a continuous stream of consciousness from a Gemini NPC in real-time, simulating a relatable and aware non-playable character. It uses advanced technology to process vision and create a textual representation of the NPC's thoughts, allowing users to explore a dystopian visualization.",Web/Chrome,mvsoom,Belgium,1
Green Horizon Ai,https://www.youtube.com/watch?v=ydSWJ44EQlk,"The application delivers climate-related news to users based on their location, providing relevant information on a local, national, and global scale. It also offers personalized assistance through its personal assistant powered by the Gemini API.","Flutter, generative-ai-dart",Green Horizon Ai,Belgium,1
ReBased,https://www.youtube.com/watch?v=acKcQDapK6w,"The application uses advanced natural language processing capabilities to categorize user-shared posts based on geographical location, ensuring they reach their most relevant audience. It also fosters real-world interactions by limiting in-app communication and reconnecting users with friends who have drifted apart.","Android, Firebase, Google Cloud",Aurélien Coppée & Neïl Rahmouni,Belgium,0
Server Explorer,https://www.youtube.com/watch?v=8qf_XOSGS4A,"The application provides a powerful tool for server management, offering features such as seamless SSH access, file exploration, and Docker management, with advanced AI assistance through Gemini technology to streamline tasks and enhance productivity.",Flutter,Darrell KIDJO,Benin,1
TaskPal,https://www.youtube.com/watch?v=chKl5AkHLeU,"The application is an AI-powered personal assistant that allows users to interact with it through various means, including task management, video uploads, and chat functionality. It provides guidance and resources to help users complete tasks efficiently.",Firebase,TaskPal Team,Bolivia,0
Virtualismo Song Avatar 3D,https://www.youtube.com/watch?v=Vsz8shBOq8E,"The application extracts text from songs, separates it into paragraphs, analyzes sentiments, and exposes this data through an API for other applications to consume. It also allows audio playback and visual expression of sentiments through a 3D avatar.",Web/Chrome,Virtualisimo Avatar 3D Analysis Song,Bolivia,0
Mental-Health-Care,https://www.youtube.com/watch?v=8kaZ2yMCjng,"The application provides personalized mental health support through a secure user interface, AI-powered chatbots, and access to a comprehensive resource library. It uses the Gemini API for intelligent responses, daily motivational quotes, and insights analysis to offer tailored guidance and feedback.","Flutter, Firebase",,Botswana,1
Usizo-ai,https://www.youtube.com/watch?v=jwVVRHl8C5k,"The application is a USSD chart-bot that provides access to Gemini API, allowing users to query Gemini on a USSD session without an internet connection, offering a low-cost solution for people in regions with limited internet access.",,Fortune,Botswana,1
3D Plant Facility Simulator,https://www.youtube.com/watch?v=xFMl0bGCGFs,"The application is a virtual industrial environment simulator that allows users to navigate and interact with a 3D plant facility, featuring AI-driven chatbot for educational purposes.","Web/Chrome, Firebase",Übung,Brazil,0
ADA - Alert disaster app,https://www.youtube.com/watch?v=1KZNQbPusp0,"The application aims to educate people about natural disaster preparedness and response, providing them with a better understanding of what to do in emergency situations.","Flutter, Firebase, Material Design Kit",ADA team,Brazil,0
